,open,high,low,close,volume,value
2023-05-13 07:48:00,26575.17586525,26575.17586525,26575.17586525,26575.17586525,0.09234211,2454.00781302
2023-05-13 08:06:00,26834.8957425,26844.94626525,26834.8957425,26844.94626525,0.02993319,803.37061754
2023-05-13 08:09:00,26575.17626526,26575.17626528,26575.17626526,26575.17626528,0.00306349,81.41278673
2023-05-13 08:45:00,26663.033,26664.0,26663.033,26664.0,0.00109468,29.1876703
2023-05-13 08:54:00,26665.0002,26870.07257211,26665.0002,26870.07257211,0.01383911,371.53834832
2023-05-13 08:57:00,26870.07257211,26870.07257211,26870.07257211,26870.07257211,0.02294206,616.45481716
2023-05-13 09:18:00,26870.07257211,26870.07257211,26870.07257211,26870.07257211,0.01471794,395.47211591
2023-05-13 10:00:00,26834.89574247,26834.89574247,26734.36782924,26744.317352,0.01983187,530.30618203
2023-05-13 10:03:00,26669.69593137,26669.69593137,26669.69593137,26669.69593137,0.0042799,114.14363162
2023-05-13 10:09:00,26920.32518585,26920.32518586,26920.32518585,26920.32518585,0.01958939,527.35274899
2023-05-13 10:21:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00300915,81.00729653
2023-05-13 10:33:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00951423,256.12616549
2023-05-13 11:00:00,26812.55042593,26812.55042593,26812.55042593,26812.55042593,0.00139588,37.42710289
2023-05-13 11:03:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00138335,37.24023185
2023-05-13 11:06:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.03574801,962.34805395
2023-05-13 11:45:00,26812.55042593,26812.55042593,26812.55042593,26812.55042593,0.00137475,36.8605537
2023-05-13 11:54:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00137017,36.88542196
2023-05-13 13:21:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00679775,182.99764053
2023-05-13 14:00:00,26812.55042593,26812.55042593,26812.55042593,26812.55042593,0.00089591,24.02163205
2023-05-13 14:06:00,26812.55042593,26812.55042593,26812.55042593,26812.55042593,6.305e-05,1.6905313
2023-05-13 14:39:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00132562,35.68612147
2023-05-13 14:42:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.0042189,113.57415993
2023-05-13 16:24:00,26654.77504734,26920.32518586,26654.77504734,26920.32518586,0.00054716,14.6565342
2023-05-13 17:06:00,26640.02180085,26640.02260088,26640.02180085,26640.02260088,0.0507005,1350.66244912
2023-05-13 17:09:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.0206246,555.22093883
2023-05-13 17:27:00,26920.32518586,26920.32518586,26920.32518586,26920.32518586,0.00120244,32.37007582
2023-05-13 17:48:00,26674.67129278,26674.67129278,26674.67129278,26674.67129278,0.0008288,22.10796757
2023-05-13 18:27:00,26674.67069275,26920.32518582,26674.67069275,26920.32518582,0.00107006,28.67399961
